id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;description;advice
1;میز;open-source;../fake-data/blob/hipster.png;image/png;سازی;../fake-data/blob/hipster.png;image/png;لطیف تجارت تجارت;رئیس
2;XML چیپس رضوی;استیل transmitting قزوین;../fake-data/blob/hipster.png;image/png;اختراع بوشهر کلاه;../fake-data/blob/hipster.png;image/png;برنامه پیش;متصدی array
3;دلار;اعتباری موزیک;../fake-data/blob/hipster.png;image/png;Bedfordshire مشتری;../fake-data/blob/hipster.png;image/png;پیشرفته کننده همه;ارگونومیک معمولی JSON
4;اعتباری connecting سیستم;شبکه;../fake-data/blob/hipster.png;image/png;Avon XML;../fake-data/blob/hipster.png;image/png;صورتحساب براق لاجوردی;feed بچه
5;تازه;ملی;../fake-data/blob/hipster.png;image/png;صورتی رئیس;../fake-data/blob/hipster.png;image/png;فارس;طعم پیراهن مرکزی
6;عاج XML;درهم;../fake-data/blob/hipster.png;image/png;Cambridgeshire;../fake-data/blob/hipster.png;image/png;circuit;نسل
7;کرون;گلستان بدون;../fake-data/blob/hipster.png;image/png;ها;../fake-data/blob/hipster.png;image/png;کتان نگرش Borders;hacking
8;شناسی انسان protocol;خوش;../fake-data/blob/hipster.png;image/png;اینترانت زرد کارگر;../fake-data/blob/hipster.png;image/png;Account quantify فلزی;الکترونیک دست آداپتور
9;back-end برنامه پویا;Berkshire hack interface;../fake-data/blob/hipster.png;image/png;کاربردی;../fake-data/blob/hipster.png;image/png;ها circuit لطیف;چک اعتباری امنیت
10;جذاب;ین;../fake-data/blob/hipster.png;image/png;تجارت ماهی هرمزگان;../fake-data/blob/hipster.png;image/png;ارغوانی;متصدی نیایش
