id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice
1;ناهمگام مجازی Bedfordshire;capacitor;../fake-data/blob/hipster.png;image/png;اتومبیل;../fake-data/blob/hipster.png;image/png;پزو Avon;شخصی firewall سپرده
2;عمان شناسایی میز;اردن;../fake-data/blob/hipster.png;image/png;hack امن خوزستان;../fake-data/blob/hipster.png;image/png;redundant;شمالی کیفیت بهبود
3;چیپس بدون قدرتمند;عربستان همدان;../fake-data/blob/hipster.png;image/png;زده امنیت;../fake-data/blob/hipster.png;image/png;copy multi-byte generate;تبدیل
4;صریح تازه digital;رویکرد microchip;../fake-data/blob/hipster.png;image/png;گذار;../fake-data/blob/hipster.png;image/png;الگوریتم مدیره;کارشناس سنگاپور پیراهن
5;پنیر کردستان driver;پلتفرم محدودیت پس;../fake-data/blob/hipster.png;image/png;نارنجی;../fake-data/blob/hipster.png;image/png;مهندس محصول اجرایی;جامع سرپرست
6;اسباب;خود متصدی open-source;../fake-data/blob/hipster.png;image/png;حوله ماشین;../fake-data/blob/hipster.png;image/png;ها فلزی;سازی ین Bedfordshire
7;بوشهر صابون;نسل دماوند;../fake-data/blob/hipster.png;image/png;خودرو انسان;../fake-data/blob/hipster.png;image/png;موزامبیک Account reboot;خوزستان sensor
8;قدرت;CSS;../fake-data/blob/hipster.png;image/png;رایانه حساب Bedfordshire;../fake-data/blob/hipster.png;image/png;سازمان;پیچیدگی قم
9;تازه sensor;ارشد;../fake-data/blob/hipster.png;image/png;همدان hacking خراسان;../fake-data/blob/hipster.png;image/png;XSS override;چوبی
10;موزیک روسیه input;متمرکز بر معمولی;../fake-data/blob/hipster.png;image/png;قزوین;../fake-data/blob/hipster.png;image/png;تاجیکستان دست;سبز جهانی
