id;title;photo_url;photo;photo_content_type;voice_url;voice_file;voice_file_content_type;master_description;master_advice
1;تن;compress primary cross-platform;../fake-data/blob/hipster.png;image/png;bluetooth Berkshire;../fake-data/blob/hipster.png;image/png;program پلاستیکی الکترونیک;تهران افزوده
2;نرم نفوذ;صورتحساب کیبورد;../fake-data/blob/hipster.png;image/png;feed;../fake-data/blob/hipster.png;image/png;solid امنیت;PCI
3;input پس آبی;توزیع پس تحمل;../fake-data/blob/hipster.png;image/png;مرغ Account;../fake-data/blob/hipster.png;image/png;cross-platform copying;بازارها سوئیس
4;ریال haptic;کامرون پرداخت;../fake-data/blob/hipster.png;image/png;اردن کارپرداز ها;../fake-data/blob/hipster.png;image/png;state بتنی;هرمزگان دلار
5;سپرده;فعال;../fake-data/blob/hipster.png;image/png;امارات پلتفرم پولدار;../fake-data/blob/hipster.png;image/png;روند خلاقیت;امیرکبیر ادغام
6;پلاستیکی;capacitor;../fake-data/blob/hipster.png;image/png;سازی حوله هند;../fake-data/blob/hipster.png;image/png;تازه صریح;SCSI
7;خانه;حسابدار;../fake-data/blob/hipster.png;image/png;چوبی;../fake-data/blob/hipster.png;image/png;سازي;زرد برنامه در
8;PCI;چسبنده محدودیت سپرده;../fake-data/blob/hipster.png;image/png;قرمز متعادل;../fake-data/blob/hipster.png;image/png;شناسی کلاه فنی;quantify هرمزگان
9;HDD;حل connect ونزوئلا;../fake-data/blob/hipster.png;image/png;سنگاپور 24/7 از;../fake-data/blob/hipster.png;image/png;پیتزا ها Berkshire;خانه هدف
10;دیباجی synthesizing;مالدیو multi-byte;../fake-data/blob/hipster.png;image/png;port haptic;../fake-data/blob/hipster.png;image/png;hacking Buckinghamshire توپ;دو
